ProductId,Category,Name,Description,Price,Color,ImageUrl,Size,CategoryId
1,BAGS,FABRIC BELT BAG,Fabric belt bag. Adjustable strap. Front zip pocket. Zip closure.,28.49,beige,"['C:\\DatasetLicenta\\women_images\\FABRIC BELT BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FABRIC BELT BAG_img_1.jpg']",One Size,1
2,BAGS,FABRIC CROSSBODY BAG,Fabric crossbody bag. Adjustable fabric crossbody strap. Zip closure.,31.79,beige,"['C:\\DatasetLicenta\\women_images\\FABRIC CROSSBODY BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FABRIC CROSSBODY BAG_img_1.jpg']",One Size,1
3,BAGS,CROSSBODY PURSE,Crossbody bag that converts into a clutch. Interior with several compartments. Detachable chain shoulder strap. Golden metal hardware. Zip closure.,25.19,white,"['C:\\DatasetLicenta\\women_images\\CROSSBODY PURSE_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROSSBODY PURSE_img_1.jpg']",One Size,1
4,BAGS,CROSSBODY BAG,Crossbody bag with adjustable strap. Lining. Zip closure.,31.79,black,"['C:\\DatasetLicenta\\women_images\\CROSSBODY BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROSSBODY BAG_img_1.jpg']",One Size,1
5,BAGS,CROCHET BUCKET BAG WITH FRINGING,Crochet bucket bag with fringing on the sides. Shoulder strap. Magnetic clasp closure. ,54.89,black,"['C:\\DatasetLicenta\\women_images\\CROCHET BUCKET BAG WITH FRINGING_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROCHET BUCKET BAG WITH FRINGING_img_1.jpg']",One Size,1
6,BAGS,FAUX PEARL SHOULDER BAG,Shoulder bag with faux pearl exterior. Shoulder strap and detachable crossbody strap. Lined interior. Magnetic clasp closure.,36.19,white,"['C:\\DatasetLicenta\\women_images\\FAUX PEARL SHOULDER BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FAUX PEARL SHOULDER BAG_img_1.jpg']",One Size,1
7,BAGS,PATCHWORK SHOULDER BAG,Shoulder bag in patchwork-effect fabric. Front and side flap pockets. Shoulder straps. Zip closure.,54.89,khaki,"['C:\\DatasetLicenta\\women_images\\PATCHWORK SHOULDER BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\PATCHWORK SHOULDER BAG_img_1.jpg']",One Size,1
8,BAGS,PATCHWORK BELT BAG WITH POCKETS,Belt bag in denim fabric. Patchwork-effect pockets in different sizes. Adjustable strap. ,31.79,blue,"['C:\\DatasetLicenta\\women_images\\PATCHWORK BELT BAG WITH POCKETS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\PATCHWORK BELT BAG WITH POCKETS_img_1.jpg']",One Size,1
9,BAGS,METALLIC FABRIC TOTE BAG,Metallic-effect tote bag. Shoulder straps. Zip closure. ,65.89,gold,"['C:\\DatasetLicenta\\women_images\\METALLIC FABRIC TOTE BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC FABRIC TOTE BAG_img_1.jpg']",One Size,1
10,BAGS,METALLIC FABRIC TOTE BAG,Metallic-effect tote bag. Handles and shoulder straps. Magnetic clasp closure. ,36.19,silver,"['C:\\DatasetLicenta\\women_images\\METALLIC FABRIC TOTE BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC FABRIC TOTE BAG_img_1.jpg']",One Size,1
11,BAGS,METALLIC MINAUDIÃˆRE,Oval minaudiÃ¨re. Brushed metallic effect. Chain crossbody strap. Metal clasp closure.,43.89,silver,"['C:\\DatasetLicenta\\women_images\\METALLIC MINAUDIÃˆRE_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\METALLIC MINAUDIÃˆRE_img_1.jpg']",One Size,1
12,BAGS,CROSSBODY BUCKET BAG,Bucket bag. Handle and detachable and adjustable crossbody strap. Inner fabric bag with gathered closure.,31.79,brown,"['C:\\DatasetLicenta\\women_images\\CROSSBODY BUCKET BAG_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CROSSBODY BUCKET BAG_img_1.jpg']",One Size,1
13,BLAZERS,TAILORED DOUBLE-BREASTED BLAZER,Blazer featuring a lapel collar with long sleeves and padded shoulders. Front flap pockets. Double-breasted button fastening on the front.,61.49,black,"['C:\\DatasetLicenta\\women_images\\TAILORED DOUBLE-BREASTED BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TAILORED DOUBLE-BREASTED BLAZER_img_1.jpg']","XS, S, M, L",2
14,BLAZERS,STRIPE TEXTURED BLAZER,Lapelless blazer with long sleeves and shoulder pads. Front patch pockets. Metal hook fastening at the front.,65.89,gray,"['C:\\DatasetLicenta\\women_images\\STRIPE TEXTURED BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\STRIPE TEXTURED BLAZER_img_1.jpg']","XS, S, M, L",2
15,BLAZERS,TAILORED WAISTCOAT,Sleeveless waistcoat with a V-neck. Front jetted pockets on the front. Button-up front.,32.89,black,"['C:\\DatasetLicenta\\women_images\\TAILORED WAISTCOAT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\TAILORED WAISTCOAT_img_1.jpg']","XS, S, M, L",2
16,BLAZERS,BLAZER WITH ROLLED-UP SLEEVES,Open blazer with a lapel collar and padded shoulders. Turn-up sleeves falling below the elbow with sleeve tabs and a golden button. Front flap pockets.,49.39,black,"['C:\\DatasetLicenta\\women_images\\BLAZER WITH ROLLED-UP SLEEVES_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\BLAZER WITH ROLLED-UP SLEEVES_img_1.jpg']","XS, S, M, L",2
17,BLAZERS,HIGH NECK TEXTURED BLAZER,Blazer featuring a high neck and long sleeves with padded shoulders. False flap pockets and front patch pockets. Front hook fastening.,65.89,white,"['C:\\DatasetLicenta\\women_images\\HIGH NECK TEXTURED BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\HIGH NECK TEXTURED BLAZER_img_1.jpg']","XS, S, M, L",2
18,BLAZERS,SHORT TAILORED WAISTCOAT,V-neck waistcoat. Featuring false welt pockets and button fastening on the front.,32.89,brown,"['C:\\DatasetLicenta\\women_images\\SHORT TAILORED WAISTCOAT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\SHORT TAILORED WAISTCOAT_img_1.jpg']","XS, S, M, L",2
19,BLAZERS,FITTED BLAZER WITH SEAMS,Blazer with a lapel collar and long sleeves with shoulder pads. Front flap pockets. Visible seam detail on the waist. Fastens at the front with buttons.,65.89,dark blue,"['C:\\DatasetLicenta\\women_images\\FITTED BLAZER WITH SEAMS_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\FITTED BLAZER WITH SEAMS_img_1.jpg']","XS, S, M, L",2
20,BLAZERS,LONG BLAZER WITH BELT,"Blazer with a lapel collar, long sleeves and shoulder pads. Front flap pockets. Belt with buckle lined in matching fabric. Contrast lining. Double-breasted fastening with covered buttons.",83.49, blue,"['C:\\DatasetLicenta\\women_images\\LONG BLAZER WITH BELT_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\LONG BLAZER WITH BELT_img_1.jpg']","XS, S, M, L",2
21,BLAZERS,CROPPED BLAZER WITH FEATHERS,Cropped blazer featuring a lapel collar and long sleeves with matching detachable feathers. False welt pockets on the front. Matching lining. Front button fastening.,131.89,pink,['C:\\DatasetLicenta\\women_images\\CROPPED BLAZER WITH FEATHERS_img_0.jpg'],"XS, S, M, L",2
22,BLAZERS,CAPE BLAZER,"Open blazer with no lapels, long cape-style sleeves and matching lining.",65.89,white,"['C:\\DatasetLicenta\\women_images\\CAPE BLAZER_img_0.jpg', 'C:\\DatasetLicenta\\women_images\\CAPE BLAZER_img_1.jpg']","XS, S, M, L",2
